BARCAŚ	(.|#|)bartsaS(.|#|)
AKCEPŚE	(.|#|)aktsEpSE(.|#|)
AKCEPŚE	(.|#|)QaktsEpSE(.|#|)
AKCIZAMI	(.|#|)aktsizami(.|#|)
AKCIZAMI	(.|#|)Qaktsizami(.|#|)
AKCIZOWEGO	(.|#|)aktsizOwEgO(.|#|)
AKCIZOWEGO	(.|#|)aktsizowEgO(.|#|)
AKCIZOWEGO	(.|#|)QaktsizOwEgO(.|#|)
AKCIZOWEGO	(.|#|)QaktsizowEgO(.|#|)
AKCIZY	(.|#|)aktsiz1(.|#|)
AKCIZY	(.|#|)Qaktsiz1(.|#|)
AKELAJAMI	(.|#|)akElajami(.|#|)
AKELAJAMI	(.|#|)QakElajami(.|#|)
AKKWIRĚRUJUCEMU	(.|#|)akwirjirujutsEmu(.|#|)
AKKWIRĚRUJUCEMU	(.|#|)QakwirjirujutsEmu(.|#|)
AKNEPUSTLI	(.|#|)aknEpustli(.|#|)
AKNEPUSTLI	(.|#|)QaknEpustli(.|#|)
AKONTOPŁAŚENJOW	(.|#|)akOntOpwaSEnjO(.|#|)
AKONTOPŁAŚENJOW	(.|#|)akOntOpwaSEnjo(.|#|)
AKONTOPŁAŚENJOW	(.|#|)QakOntOpwaSEnjO(.|#|)
AKONTOPŁAŚENJOW	(.|#|)QakOntOpwaSEnjo(.|#|)
AKORDEONOWEMU	(.|#|)akOrdEOnOwEmu(.|#|)
AKORDEONOWEMU	(.|#|)akOrdEOnowEmu(.|#|)
AKORDEONOWEMU	(.|#|)QakOrdEOnOwEmu(.|#|)
AKORDEONOWEMU	(.|#|)QakOrdEOnowEmu(.|#|)
AKPSTATY	(.|#|)akpstat1(.|#|)
AKPSTATY	(.|#|)Qakpstat1(.|#|)
AKREDITĚROWANJEJU	(.|#|)akrEditjirOwan(j|)eju(.|#|)
AKREDITĚROWANJEJU	(.|#|)akrEditjirowan(j|)eju(.|#|)
AKREDITĚROWANJEJU	(.|#|)QakrEditjirOwan(j|)eju(.|#|)
AKREDITĚROWANJEJU	(.|#|)QakrEditjirowan(j|)eju(.|#|)
AKROBATACH	(.|#|)akrObatax(.|#|)
AKROBATACH	(.|#|)QakrObatax(.|#|)
AKSIALNEM	(.|#|)aksialnEm(.|#|)
AKSIALNEM	(.|#|)QaksialnEm(.|#|)
AKSIOMATISKI	(.|#|)aksiOmatiski(.|#|)
AKSIOMATISKI	(.|#|)QaksiOmatiski(.|#|)
AKT	(.|#|)akt(.|#|)
AKT	(.|#|)Qakt(.|#|)
AKTIWISKI	(.|#|)aktiwiski(.|#|)
AKTIWISKI	(.|#|)Qaktiwiski(.|#|)
AKTIWĚRUJUCE	(.|#|)aktiujirujutsE(.|#|)
AKTIWĚRUJUCE	(.|#|)QaktiujirujutsE(.|#|)
AKTUALIZACIJA	(.|#|)aktualizatsija(.|#|)
AKTUALIZACIJA	(.|#|)Qaktualizatsija(.|#|)
AKULTURĚROWANJA	(.|#|)akulturjirOwanja(.|#|)
AKULTURĚROWANJA	(.|#|)akulturjirowanja(.|#|)
AKULTURĚROWANJA	(.|#|)QakulturjirOwanja(.|#|)
AKULTURĚROWANJA	(.|#|)Qakulturjirowanja(.|#|)
AKUPUNKTUROWU	(.|#|)akupunkturOwu(.|#|)
AKUPUNKTUROWU	(.|#|)akupunkturowu(.|#|)
AKUPUNKTUROWU	(.|#|)QakupunkturOwu(.|#|)
AKUPUNKTUROWU	(.|#|)Qakupunkturowu(.|#|)
AKWAPLANINGAM	(.|#|)akwaplaningam(.|#|)
AKWAPLANINGAM	(.|#|)Qakwaplaningam(.|#|)
AKWARELĚRUJUCYMA	(.|#|)akwarEljirujuts1ma(.|#|)
AKWARELĚRUJUCYMA	(.|#|)QakwarEljirujuts1ma(.|#|)
AKŚE	(.|#|)akSE(.|#|)
AKŚE	(.|#|)QakSE(.|#|)
ALABASTERA	(.|#|)alabastEra(.|#|)
ALABASTERA	(.|#|)QalabastEra(.|#|)
ALARMU	(.|#|)alarmu(.|#|)
ALARMU	(.|#|)Qalarmu(.|#|)
ALAWNOJTEM	(.|#|)alaunOjtEm(.|#|)
ALAWNOJTEM	(.|#|)QalaunOjtEm(.|#|)
ALBANARJAMI	(.|#|)albanarjami(.|#|)
ALBANARJAMI	(.|#|)Qalbanarjami(.|#|)
ALBANŠĆINOWU	(.|#|)albanStSinOwu(.|#|)
ALBANŠĆINOWU	(.|#|)albanStSinowu(.|#|)
ALBANŠĆINOWU	(.|#|)QalbanStSinOwu(.|#|)
ALBANŠĆINOWU	(.|#|)QalbanStSinowu(.|#|)
ALBATROSU	(.|#|)albatrOsu(.|#|)
ALBATROSU	(.|#|)QalbatrOsu(.|#|)
ALBAŃSKEJ	(.|#|)albajnskej(.|#|)
ALBAŃSKEJ	(.|#|)Qalbajnskej(.|#|)
ALBAŃŠĆINU	(.|#|)albajnStSinu(.|#|)
ALBAŃŠĆINU	(.|#|)QalbajnStSinu(.|#|)
ALBINOWCE	(.|#|)albinOutsE(.|#|)
ALBINOWCE	(.|#|)albinoutsE(.|#|)
ALBINOWCE	(.|#|)QalbinOutsE(.|#|)
ALBINOWCE	(.|#|)QalbinoutsE(.|#|)
ALBY	(.|#|)alb1(.|#|)
ALBY	(.|#|)Qalb1(.|#|)
ALCE	(.|#|)altsE(.|#|)
ALCE	(.|#|)QaltsE(.|#|)
ALCHEMISTISKEM	(.|#|)alxEmistiskEm(.|#|)
ALCHEMISTISKEM	(.|#|)QalxEmistiskEm(.|#|)
ALDEHYŹE	(.|#|)aldEh1ZE(.|#|)
ALDEHYŹE	(.|#|)QaldEh1ZE(.|#|)
ALDENTE	(.|#|)aldEntE(.|#|)
ALDENTE	(.|#|)QaldEntE(.|#|)
ALEGORIKI	(.|#|)alEgOriki(.|#|)
ALEGORIKI	(.|#|)QalEgOriki(.|#|)
ALEJA	(.|#|)aleja(.|#|)
ALEJA	(.|#|)Qaleja(.|#|)
ALEKSANDRA	(.|#|)alEksandra(.|#|)
ALEKSANDRA	(.|#|)QalEksandra(.|#|)
ALFAPROMJENIM	(.|#|)alfaprOmjEnim(.|#|)
ALFAPROMJENIM	(.|#|)QalfaprOmjEnim(.|#|)
ALFAZWĚRJE	(.|#|)alfazwjir(j|)E(.|#|)
ALFAZWĚRJE	(.|#|)Qalfazwjir(j|)E(.|#|)
ALFAŹĚLK	(.|#|)alfaZjilk(.|#|)
ALFAŹĚLK	(.|#|)QalfaZjilk(.|#|)
ALGACH	(.|#|)algax(.|#|)
ALGACH	(.|#|)Qalgax(.|#|)
ALGOMA	(.|#|)algOma(.|#|)
ALGOMA	(.|#|)QalgOma(.|#|)
ALIAS	(.|#|)alias(.|#|)
ALIAS	(.|#|)Qalias(.|#|)
ALIRY	(.|#|)alir1(.|#|)
ALIRY	(.|#|)Qalir1(.|#|)
ALITERĚRUJUCU	(.|#|)alitErjirujutsu(.|#|)
ALITERĚRUJUCU	(.|#|)QalitErjirujutsu(.|#|)
ALIĚROWAŠO	(.|#|)alijirOwaSO(.|#|)
ALIĚROWAŠO	(.|#|)alijirowaSO(.|#|)
ALIĚROWAŠO	(.|#|)QalijirOwaSO(.|#|)
ALIĚROWAŠO	(.|#|)QalijirowaSO(.|#|)
ALK	(.|#|)alk(.|#|)
ALK	(.|#|)Qalk(.|#|)
ALLAH	(.|#|)ala(.|#|)
ALLAH	(.|#|)Qala(.|#|)
ALMANACHAM	(.|#|)almanaxam(.|#|)
ALMANACHAM	(.|#|)Qalmanaxam(.|#|)
ALMENDY	(.|#|)almEnd1(.|#|)
ALMENDY	(.|#|)QalmEnd1(.|#|)
ALMENŹE	(.|#|)almEnZE(.|#|)
ALMENŹE	(.|#|)QalmEnZE(.|#|)
ALOPATISKA	(.|#|)alOpatiska(.|#|)
ALOPATISKA	(.|#|)QalOpatiska(.|#|)
ALOWEJ	(.|#|)alOwej(.|#|)
ALOWEJ	(.|#|)alowej(.|#|)
ALOWEJ	(.|#|)QalOwej(.|#|)
ALOWEJ	(.|#|)Qalowej(.|#|)
ALOWEJOWU	(.|#|)alOwejOwu(.|#|)
ALOWEJOWU	(.|#|)alowejowu(.|#|)
ALOWEJOWU	(.|#|)QalOwejOwu(.|#|)
ALOWEJOWU	(.|#|)Qalowejowu(.|#|)
ALP	(.|#|)alp(.|#|)
ALP	(.|#|)Qalp(.|#|)
ALPOWY	(.|#|)alpOw1(.|#|)
ALPOWY	(.|#|)alpow1(.|#|)
ALPOWY	(.|#|)QalpOw1(.|#|)
ALPOWY	(.|#|)Qalpow1(.|#|)
ALPSKIM	(.|#|)alpskim(.|#|)
ALPSKIM	(.|#|)Qalpskim(.|#|)
ALRAWNJE	(.|#|)alraun(j|)E(.|#|)
ALRAWNJE	(.|#|)Qalraun(j|)E(.|#|)
ALT	(.|#|)alt(.|#|)
ALT	(.|#|)Qalt(.|#|)
ALTAJACH	(.|#|)altajax(.|#|)
ALTAJACH	(.|#|)Qaltajax(.|#|)
ALTGŁOSE	(.|#|)altgwOsE(.|#|)
ALTGŁOSE	(.|#|)QaltgwOsE(.|#|)
ALTISTU	(.|#|)altistu(.|#|)
ALTISTU	(.|#|)Qaltistu(.|#|)
ALUMINIUMOWNJA	(.|#|)aluminiumOunja(.|#|)
ALUMINIUMOWNJA	(.|#|)aluminiumounja(.|#|)
ALUMINIUMOWNJA	(.|#|)QaluminiumOunja(.|#|)
ALUMINIUMOWNJA	(.|#|)Qaluminiumounja(.|#|)
ALĚRAM	(.|#|)aljiram(.|#|)
ALĚRAM	(.|#|)Qaljiram(.|#|)
ALŚE	(.|#|)alSE(.|#|)
ALŚE	(.|#|)QalSE(.|#|)
AMACONA	(.|#|)amatsOna(.|#|)
AMACONA	(.|#|)QamatsOna(.|#|)
AMBICIJA	(.|#|)ambitsija(.|#|)
AMBICIJA	(.|#|)Qambitsija(.|#|)
AMBICIJU	(.|#|)ambitsiju(.|#|)
AMBICIJU	(.|#|)Qambitsiju(.|#|)
AMBROS	(.|#|)ambrOs(.|#|)
AMBROS	(.|#|)QambrOs(.|#|)
AMBULANCOWEGO	(.|#|)ambulantsOwEgO(.|#|)
AMBULANCOWEGO	(.|#|)ambulantsowEgO(.|#|)
AMBULANCOWEGO	(.|#|)QambulantsOwEgO(.|#|)
AMBULANCOWEGO	(.|#|)QambulantsowEgO(.|#|)
AMBULANTNY	(.|#|)ambulantn1(.|#|)
AMBULANTNY	(.|#|)Qambulantn1(.|#|)
AMFIBISKI	(.|#|)amfibiski(.|#|)
AMFIBISKI	(.|#|)Qamfibiski(.|#|)
AMFORY	(.|#|)amfOr1(.|#|)
AMFORY	(.|#|)QamfOr1(.|#|)
AMIZEMENŚE	(.|#|)amizEmEnSE(.|#|)
AMIZEMENŚE	(.|#|)QamizEmEnSE(.|#|)
AMIZĚROWANJACH	(.|#|)amizjirOwanjax(.|#|)
AMIZĚROWANJACH	(.|#|)amizjirowanjax(.|#|)
AMIZĚROWANJACH	(.|#|)QamizjirOwanjax(.|#|)
AMIZĚROWANJACH	(.|#|)Qamizjirowanjax(.|#|)
AMNESTĚROWANE	(.|#|)amnEstjirOwanE(.|#|)
AMNESTĚROWANE	(.|#|)amnEstjirowanE(.|#|)
AMNESTĚROWANE	(.|#|)QamnEstjirOwanE(.|#|)
AMNESTĚROWANE	(.|#|)QamnEstjirowanE(.|#|)
AMOKJĚZDŹARJA	(.|#|)amOkjjizdZarja(.|#|)
AMOKJĚZDŹARJA	(.|#|)QamOkjjizdZarja(.|#|)
AMONIACE	(.|#|)amOniatsE(.|#|)
AMONIACE	(.|#|)QamOniatsE(.|#|)
AMONIAKOWE	(.|#|)amOniakOwE(.|#|)
AMONIAKOWE	(.|#|)amOniakowE(.|#|)
AMONIAKOWE	(.|#|)QamOniakOwE(.|#|)
AMONIAKOWE	(.|#|)QamOniakowE(.|#|)
AMONIAKU	(.|#|)amOniaku(.|#|)
AMONIAKU	(.|#|)QamOniaku(.|#|)
AMOREŚE	(.|#|)amOrESE(.|#|)
AMOREŚE	(.|#|)QamOrESE(.|#|)
AMORFNEGO	(.|#|)amOrfnEgO(.|#|)
AMORFNEGO	(.|#|)QamOrfnEgO(.|#|)
AMORFNEJE	(.|#|)amOrfnejE(.|#|)
AMORFNEJE	(.|#|)QamOrfnejE(.|#|)
AMORU	(.|#|)amOru(.|#|)
AMORU	(.|#|)QamOru(.|#|)
AMPEREU	(.|#|)ampErEu(.|#|)
AMPEREU	(.|#|)QampErEu(.|#|)
AMT	(.|#|)amt(.|#|)
AMT	(.|#|)Qamt(.|#|)
AMTAMI	(.|#|)amtami(.|#|)
AMTAMI	(.|#|)Qamtami(.|#|)
AMTARJACH	(.|#|)amtarjax(.|#|)
AMTARJACH	(.|#|)Qamtarjax(.|#|)
AMTAŔ	(.|#|)amtar(.|#|)
AMTAŔ	(.|#|)Qamtar(.|#|)
AMTOJSKEGO	(.|#|)amtOjskEgO(.|#|)
AMTOJSKEGO	(.|#|)QamtOjskEgO(.|#|)
AMTOWANEJU	(.|#|)amtOwaneju(.|#|)
AMTOWANEJU	(.|#|)amtowaneju(.|#|)
AMTOWANEJU	(.|#|)QamtOwaneju(.|#|)
AMTOWANEJU	(.|#|)Qamtowaneju(.|#|)
AMTSKEMU	(.|#|)amtskEmu(.|#|)
AMTSKEMU	(.|#|)QamtskEmu(.|#|)
AMTUJUCEJU	(.|#|)amtujutseju(.|#|)
AMTUJUCEJU	(.|#|)Qamtujutseju(.|#|)
AMTY	(.|#|)amt1(.|#|)
AMTY	(.|#|)Qamt1(.|#|)
AMTĚROWAŁEJ	(.|#|)amtjirOwawej(.|#|)
AMTĚROWAŁEJ	(.|#|)amtjirowawej(.|#|)
AMTĚROWAŁEJ	(.|#|)QamtjirOwawej(.|#|)
AMTĚROWAŁEJ	(.|#|)Qamtjirowawej(.|#|)
AMULETY	(.|#|)amulEt1(.|#|)
AMULETY	(.|#|)QamulEt1(.|#|)
AMUZISKIM	(.|#|)amuziskim(.|#|)
AMUZISKIM	(.|#|)Qamuziskim(.|#|)
AMŚE	(.|#|)amSE(.|#|)
AMŚE	(.|#|)QamSE(.|#|)
AMŚIKOMA	(.|#|)amSikOma(.|#|)
AMŚIKOMA	(.|#|)amSikUma(.|#|)
AMŚIKOMA	(.|#|)QamSikOma(.|#|)
AMŚIKOMA	(.|#|)QamSikUma(.|#|)
ANABOLNEJU	(.|#|)anabOlneju(.|#|)
ANABOLNEJU	(.|#|)QanabOlneju(.|#|)
ANABOLNU	(.|#|)anabOlnu(.|#|)
ANABOLNU	(.|#|)QanabOlnu(.|#|)
ANALYSTY	(.|#|)anal1st1(.|#|)
ANALYSTY	(.|#|)Qanal1st1(.|#|)
AND	(.|#|)ant(.|#|)
AND	(.|#|)Qant(.|#|)
ANDORRAŃSKI	(.|#|)andOrajnski(.|#|)
ANDORRAŃSKI	(.|#|)QandOrajnski(.|#|)
ANEMIJI	(.|#|)anEmiji(.|#|)
ANEMIJI	(.|#|)anEmij(.|#|)
ANEMIJI	(.|#|)QanEmiji(.|#|)
ANEMIJI	(.|#|)QanEmij(.|#|)
ANESTEZĚRUJUCYCH	(.|#|)anEstEzjirujuts1x(.|#|)
ANESTEZĚRUJUCYCH	(.|#|)QanEstEzjirujuts1x(.|#|)
ANGAŽEMENTU	(.|#|)angaZEmEntu(.|#|)
ANGAŽEMENTU	(.|#|)QangaZEmEntu(.|#|)
ANGAŽOWANEJ	(.|#|)angaZOwanej(.|#|)
ANGAŽOWANEJ	(.|#|)angaZowanej(.|#|)
ANGAŽOWANEJ	(.|#|)QangaZOwanej(.|#|)
ANGAŽOWANEJ	(.|#|)QangaZowanej(.|#|)
ANGAŽUJUCEJU	(.|#|)angaZujutseju(.|#|)
ANGAŽUJUCEJU	(.|#|)QangaZujutseju(.|#|)
ANGAŽĚROWACHU	(.|#|)angaZjirOwaxu(.|#|)
ANGAŽĚROWACHU	(.|#|)angaZjirowaxu(.|#|)
ANGAŽĚROWACHU	(.|#|)QangaZjirOwaxu(.|#|)
ANGAŽĚROWACHU	(.|#|)QangaZjirowaxu(.|#|)
ANGINAMI	(.|#|)anginami(.|#|)
ANGINAMI	(.|#|)Qanginami(.|#|)
ANGLIST	(.|#|)anglist(.|#|)
ANGLIST	(.|#|)Qanglist(.|#|)
ANHALTSKIMI	(.|#|)anhaltskimi(.|#|)
ANHALTSKIMI	(.|#|)Qanhaltskimi(.|#|)
ANILINOWEJ	(.|#|)anilinOwej(.|#|)
ANILINOWEJ	(.|#|)anilinowej(.|#|)
ANILINOWEJ	(.|#|)QanilinOwej(.|#|)
ANILINOWEJ	(.|#|)Qanilinowej(.|#|)
ANIMĚRUJUCYMI	(.|#|)animjirujuts1mi(.|#|)
ANIMĚRUJUCYMI	(.|#|)Qanimjirujuts1mi(.|#|)
ANIS	(.|#|)anis(.|#|)
ANIS	(.|#|)Qanis(.|#|)
ANJE	(.|#|)an(j|)E(.|#|)
ANJE	(.|#|)Qan(j|)E(.|#|)
ANKAMI	(.|#|)ankami(.|#|)
ANKAMI	(.|#|)Qankami(.|#|)
ANNJE	(.|#|)an(j|)E(.|#|)
ANNJE	(.|#|)Qan(j|)E(.|#|)
ANNOMA	(.|#|)anOma(.|#|)
ANNOMA	(.|#|)QanOma(.|#|)
ANODOMA	(.|#|)anOdOma(.|#|)
ANODOMA	(.|#|)QanOdOma(.|#|)
ANORGANISKEMU	(.|#|)anOrganiskEmu(.|#|)
ANORGANISKEMU	(.|#|)QanOrganiskEmu(.|#|)
ANORMALNEM	(.|#|)anOrmalnEm(.|#|)
ANORMALNEM	(.|#|)QanOrmalnEm(.|#|)
ANSAMBELAM	(.|#|)ansambElam(.|#|)
ANSAMBELAM	(.|#|)QansambElam(.|#|)
ANTAGONISTISKI	(.|#|)antagOnistiski(.|#|)
ANTAGONISTISKI	(.|#|)QantagOnistiski(.|#|)
ANTIBLOKĚRUJUCYCH	(.|#|)antiblOkjirujuts1x(.|#|)
ANTIBLOKĚRUJUCYCH	(.|#|)QantiblOkjirujuts1x(.|#|)
ANTIIMPERIALISTISKEM	(.|#|)antimpErialistiskEm(.|#|)
ANTIIMPERIALISTISKEM	(.|#|)QantimpErialistiskEm(.|#|)
ANTIKONCEPCIONELNEJE	(.|#|)antikOntsEptsiOnElnejE(.|#|)
ANTIKONCEPCIONELNEJE	(.|#|)QantikOntsEptsiOnElnejE(.|#|)
ANTIKWARISKIMA	(.|#|)antikwariskima(.|#|)
ANTIKWARISKIMA	(.|#|)Qantikwariskima(.|#|)
ANTIKWOW	(.|#|)antikwO(.|#|)
ANTIKWOW	(.|#|)antikwo(.|#|)
ANTIKWOW	(.|#|)QantikwO(.|#|)
ANTIKWOW	(.|#|)Qantikwo(.|#|)
ANTIKŚESĆIJAŃSKEJ	(.|#|)antikSEstSijajnskej(.|#|)
ANTIKŚESĆIJAŃSKEJ	(.|#|)antikSEStSijajnskej(.|#|)
ANTIKŚESĆIJAŃSKEJ	(.|#|)QantikSEstSijajnskej(.|#|)
ANTIKŚESĆIJAŃSKEJ	(.|#|)QantikSEStSijajnskej(.|#|)
ANTIPODAM	(.|#|)antipOdam(.|#|)
ANTIPODAM	(.|#|)QantipOdam(.|#|)
ANTIPODY	(.|#|)antipOd1(.|#|)
ANTIPODY	(.|#|)QantipOd1(.|#|)
ANTIPOŹE	(.|#|)antipOZE(.|#|)
ANTIPOŹE	(.|#|)QantipOZE(.|#|)
ANTIŚĚŁKAM	(.|#|)antiSjiwkam(.|#|)
ANTIŚĚŁKAM	(.|#|)QantiSjiwkam(.|#|)
ANTJE	(.|#|)antjE(.|#|)
ANTJE	(.|#|)QantjE(.|#|)
ANULACIJA	(.|#|)anulatsija(.|#|)
ANULACIJA	(.|#|)Qanulatsija(.|#|)
ANUSA	(.|#|)anusa(.|#|)
ANUSA	(.|#|)Qanusa(.|#|)
ANY	(.|#|)an1(.|#|)
ANY	(.|#|)Qan1(.|#|)
ANŚIC	(.|#|)anSits(.|#|)
ANŚIC	(.|#|)QanSits(.|#|)
ANŚIKOJU	(.|#|)anSikOju(.|#|)
ANŚIKOJU	(.|#|)QanSikOju(.|#|)
APELNIŠĆI	(.|#|)apElniStSi(.|#|)
APELNIŠĆI	(.|#|)QapElniStSi(.|#|)
APERITIFJE	(.|#|)apEritifjE(.|#|)
APERITIFJE	(.|#|)QapEritifjE(.|#|)
APETITOMA	(.|#|)apEtitOma(.|#|)
APETITOMA	(.|#|)QapEtitOma(.|#|)
APLAWDĚROWANJOWU	(.|#|)aplaudjirOwanjOwu(.|#|)
APLAWDĚROWANJOWU	(.|#|)aplaudjirowanjowu(.|#|)
APLAWDĚROWANJOWU	(.|#|)QaplaudjirOwanjOwu(.|#|)
APLAWDĚROWANJOWU	(.|#|)Qaplaudjirowanjowu(.|#|)
APLAWSOJU	(.|#|)aplausOju(.|#|)
APLAWSOJU	(.|#|)QaplausOju(.|#|)
APLAWSOM	(.|#|)aplausOm(.|#|)
APLAWSOM	(.|#|)QaplausOm(.|#|)
APLICĚRUJOMEJ	(.|#|)aplitsjirujOmej(.|#|)
APLICĚRUJOMEJ	(.|#|)QaplitsjirujOmej(.|#|)
APOKRYFOWU	(.|#|)apOkr1fOwu(.|#|)
APOKRYFOWU	(.|#|)apOkr1fowu(.|#|)
APOKRYFOWU	(.|#|)QapOkr1fOwu(.|#|)
APOKRYFOWU	(.|#|)QapOkr1fowu(.|#|)
APRYLSKE	(.|#|)apr1lskE(.|#|)
APRYLSKE	(.|#|)Qapr1lskE(.|#|)
APTEJCYNYMA	(.|#|)aptejts1n1ma(.|#|)
APTEJCYNYMA	(.|#|)Qaptejts1n1ma(.|#|)
APTEJKARIKAM	(.|#|)aptejkarikam(.|#|)
APTEJKARIKAM	(.|#|)Qaptejkarikam(.|#|)
APTEJKAŔ	(.|#|)aptejkar(.|#|)
APTEJKAŔ	(.|#|)Qaptejkar(.|#|)
APTRYTOM	(.|#|)aptr1tOm(.|#|)
APTRYTOM	(.|#|)Qaptr1tOm(.|#|)
APTYJOWU	(.|#|)apt1jOwu(.|#|)
APTYJOWU	(.|#|)apt1jowu(.|#|)
APTYJOWU	(.|#|)Qapt1jOwu(.|#|)
APTYJOWU	(.|#|)Qapt1jowu(.|#|)
AR	(.|#|)ar(.|#|)
AR	(.|#|)Qar(.|#|)
ARABESKOW	(.|#|)arabEskO(.|#|)
ARABESKOW	(.|#|)arabEsko(.|#|)
ARABESKOW	(.|#|)QarabEskO(.|#|)
ARABESKOW	(.|#|)QarabEsko(.|#|)
ARABŠĆINOMA	(.|#|)arapStSinOma(.|#|)
ARABŠĆINOMA	(.|#|)QarapStSinOma(.|#|)
ARBITRARNEMU	(.|#|)arbitrarnEmu(.|#|)
ARBITRARNEMU	(.|#|)QarbitrarnEmu(.|#|)
ARCHAIZĚROWAŁO	(.|#|)arxaizjirOwawO(.|#|)
ARCHAIZĚROWAŁO	(.|#|)arxaizjirowawO(.|#|)
ARCHAIZĚROWAŁO	(.|#|)QarxaizjirOwawO(.|#|)
ARCHAIZĚROWAŁO	(.|#|)QarxaizjirowawO(.|#|)
ARCHITEKTCE	(.|#|)arxitEkttsE(.|#|)
ARCHITEKTCE	(.|#|)QarxitEkttsE(.|#|)
ARCHU	(.|#|)arxu(.|#|)
ARCHU	(.|#|)Qarxu(.|#|)
ARCYBISKUPSTWOW	(.|#|)arts1biskupstwO(.|#|)
ARCYBISKUPSTWOW	(.|#|)arts1biskupstwo(.|#|)
ARCYBISKUPSTWOW	(.|#|)Qarts1biskupstwO(.|#|)
ARCYBISKUPSTWOW	(.|#|)Qarts1biskupstwo(.|#|)
ARCYMJERŠNIK	(.|#|)arts1mjErSnik(.|#|)
ARCYMJERŠNIK	(.|#|)Qarts1mjErSnik(.|#|)
ARCYREAKCIONARNYMI	(.|#|)arts1rEaktsiOnarn1mi(.|#|)
ARCYREAKCIONARNYMI	(.|#|)Qarts1rEaktsiOnarn1mi(.|#|)
ARCYREWALKI	(.|#|)arts1rEwalki(.|#|)
ARCYREWALKI	(.|#|)Qarts1rEwalki(.|#|)
ARCYWINIKOJSTWO	(.|#|)arts1winikOjstwO(.|#|)
ARCYWINIKOJSTWO	(.|#|)Qarts1winikOjstwO(.|#|)
ARCYWÓŚCU	(.|#|)arts1wUStsu(.|#|)
ARCYWÓŚCU	(.|#|)Qarts1wUStsu(.|#|)
ARESTA	(.|#|)arEsta(.|#|)
ARESTA	(.|#|)QarEsta(.|#|)
ARGUSOWEJU	(.|#|)argusOweju(.|#|)
ARGUSOWEJU	(.|#|)argusoweju(.|#|)
ARGUSOWEJU	(.|#|)QargusOweju(.|#|)
ARGUSOWEJU	(.|#|)Qargusoweju(.|#|)
ARIWĚROWANYMA	(.|#|)ariujirOwan1ma(.|#|)
ARIWĚROWANYMA	(.|#|)ariujirowan1ma(.|#|)
ARIWĚROWANYMA	(.|#|)QariujirOwan1ma(.|#|)
ARIWĚROWANYMA	(.|#|)Qariujirowan1ma(.|#|)
ARJE	(.|#|)ar(j|)E(.|#|)
ARJE	(.|#|)Qar(j|)E(.|#|)
ARMADOMA	(.|#|)armadOma(.|#|)
ARMADOMA	(.|#|)QarmadOma(.|#|)
ARMAŹE	(.|#|)armaZE(.|#|)
ARMAŹE	(.|#|)QarmaZE(.|#|)
ARMEJARJOWU	(.|#|)armejarjOwu(.|#|)
ARMEJARJOWU	(.|#|)armejarjowu(.|#|)
ARMEJARJOWU	(.|#|)QarmejarjOwu(.|#|)
ARMEJARJOWU	(.|#|)Qarmejarjowu(.|#|)
ARMEJE	(.|#|)armejE(.|#|)
ARMEJE	(.|#|)QarmejE(.|#|)
ARMEJOMA	(.|#|)armejOma(.|#|)
ARMEJOMA	(.|#|)QarmejOma(.|#|)
ARMENIJARKAM	(.|#|)armEnijarkam(.|#|)
ARMENIJARKAM	(.|#|)QarmEnijarkam(.|#|)
ARMENIJAŔKAM	(.|#|)armEnijarkam(.|#|)
ARMENIJAŔKAM	(.|#|)QarmEnijarkam(.|#|)
ARMEŃSKI	(.|#|)armEjnski(.|#|)
ARMEŃSKI	(.|#|)armejnski(.|#|)
ARMEŃSKI	(.|#|)QarmEjnski(.|#|)
ARMEŃSKI	(.|#|)Qarmejnski(.|#|)
ARMEŃŠĆINU	(.|#|)armEjnStSinu(.|#|)
ARMEŃŠĆINU	(.|#|)armenStSinu(.|#|)
ARMEŃŠĆINU	(.|#|)QarmEjnStSinu(.|#|)
ARMEŃŠĆINU	(.|#|)QarmenStSinu(.|#|)
ARMĚRUJUCYMA	(.|#|)armjirujuts1ma(.|#|)
ARMĚRUJUCYMA	(.|#|)Qarmjirujuts1ma(.|#|)
ARNAŠTOM	(.|#|)arnaStOm(.|#|)
ARNAŠTOM	(.|#|)QarnaStOm(.|#|)
AROMATIZĚRUJTEJ	(.|#|)arOmatizjirujtej(.|#|)
AROMATIZĚRUJTEJ	(.|#|)QarOmatizjirujtej(.|#|)
ARRANGEMENT	(.|#|)arangEmEnt(.|#|)
ARRANGEMENT	(.|#|)QarangEmEnt(.|#|)
ARTIKEL	(.|#|)artikEl(.|#|)
ARTIKEL	(.|#|)QartikEl(.|#|)
ARU	(.|#|)aru(.|#|)
ARU	(.|#|)Qaru(.|#|)
ARY	(.|#|)ar1(.|#|)
ARY	(.|#|)Qar1(.|#|)
ARŠE	(.|#|)arSE(.|#|)
ARŠE	(.|#|)QarSE(.|#|)
AS	(.|#|)as(.|#|)
AS	(.|#|)Qas(.|#|)
ASAMI	(.|#|)asami(.|#|)
ASAMI	(.|#|)Qasami(.|#|)
ASBESTOWE	(.|#|)asbEstOwE(.|#|)
ASBESTOWE	(.|#|)asbEstowE(.|#|)
ASBESTOWE	(.|#|)QasbEstOwE(.|#|)
ASBESTOWE	(.|#|)QasbEstowE(.|#|)
